sampleID,DateTime,Site,Type,DOC_mgL,ions_uM,NH4_mgNL,SRP_ugL,TC_mgL,TDP_ugL,TN_mgNL,Chloride_mgL,NO3_mgNL,Sample_date,Event_date,Time,stage,Lability,ISCO_numberofbottles,Grab,Pre_Post,Temp_C,mmHG,DO_SAT,DO_mgL,SPC,SiteName,lat,lon,Location,Description,burn,trib_main,eventID,time_at_peak,Gageheight_ft,Peak_cfs,method,sampDateTime,peakDateTime
1,9/1/21 1:59,RC,ISCO,NA,NA,0.117,270.5,NA,NA,NA,NA,NA,9/1/21,9/1/21,12:15,flood,yes,18,yes,post,NA,NA,NA,NA,NA,Rock Creek,33.730505,-111.508744,"33.730505, -111.508744",burned tributary,burned,tributary,20,4:45,3.57,993,Gage height and peak are crude measurments taken from usgs graph,9/1/21 4:45,9/1/21 4:45
100,8/23/20 13:15,BMW,NA,46.4,NA,0.0558,46.5,NA,NA,3.532,29.2,0.00646,8/23/20,8/22/20,13:15,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,2,10:35,3.66,1140,Gage height and peak are crude measurments taken from usgs graph,8/23/20 10:35,8/22/20 10:35
101,8/23/20 13:15,BMW,NA,76.21,NA,0.071,82.9,NA,NA,6.204,30,0.001,8/23/20,8/22/20,13:15,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,2,10:35,3.66,1140,Gage height and peak are crude measurments taken from usgs graph,8/23/20 10:35,8/22/20 10:35
102,8/23/20 13:15,BMW,NA,23.03,NA,0.0233,280,NA,NA,1.98,29.2,0.00571,8/23/20,8/22/20,13:15,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,2,10:35,3.66,1140,Gage height and peak are crude measurments taken from usgs graph,8/23/20 10:35,8/22/20 10:35
103,8/27/20 10:30,SS,NA,2.455,NA,0.0163,48.3,NA,NA,0.3334,9.56,0.0215,8/27/20,NA,10:30,baseflow,yes,NA,yes,pre,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
104,8/27/20 10:30,SS,NA,2.486,NA,0.001,48.4,NA,NA,0.2879,9.16,0.0658,8/27/20,NA,10:30,baseflow,yes,NA,yes,pre,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
105,8/27/20 10:30,SS,NA,3.173,NA,0.0498,37.2,NA,NA,0.4544,9.38,0.0416,8/27/20,NA,10:30,baseflow,yes,NA,yes,pre,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
106,8/31/20 8:45,UPSS,NA,48.45,NA,0.617,65.3,NA,NA,5.831,7.93,0.616,8/31/20,8/30/20,8:45,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Above SS,33.760133,-111.502987,"33.760133, -111.502987",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
107,8/31/20 8:45,UPSS,NA,71.26,NA,0.529,90.3,NA,NA,9.262,10.9,0.327,8/31/20,8/30/20,8:45,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Above SS,33.760133,-111.502987,"33.760133, -111.502987",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
108,8/31/20 8:45,UPSS,NA,69.77,NA,0.69,100,NA,NA,8.592,11.5,0.476,8/31/20,8/30/20,8:45,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Above SS,33.760133,-111.502987,"33.760133, -111.502987",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
109,8/31/20 8:45,UPSS,NA,NA,NA,NA,NA,62.59,NA,NA,NA,NA,8/31/20,8/30/20,8:45,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Above SS,33.760133,-111.502987,"33.760133, -111.502987",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
110,8/31/20 9:45,SS,NA,16.44,NA,0.229,246,NA,NA,1.988,9.04,0.0776,8/31/20,8/30/20,9:45,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
110,8/19/21 1:43,SS,ISCO,NA,NA,0.0544,159,NA,NA,NA,NA,NA,8/19/21,8/18/21,10:48,flood,no,24,no,post,25.3,701.5,98,7.57,274.6,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,19,17:20,11.77,7880,Gage height and peak are crude measurments taken from usgs graph,8/19/21 17:20,8/18/21 17:20
111,8/31/20 9:45,SS,NA,19.45,NA,0.22,325,NA,NA,2.109,9.76,0.0624,8/31/20,8/30/20,9:45,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
111,8/16/21 22:29,CC,ISCO,NA,NA,0.032,168,NA,NA,NA,NA,NA,8/16/21,8/16/21,,flood,,NA,,,NA,NA,NA,NA,NA,Camp,33.760368,-111.502611,"33.760368, -111.502611",burned tributary,burned,tributary,18,23:30,3.12,750,Gage height and peak are crude measurments taken from usgs graph,8/16/21 23:30,8/16/21 23:30
112,8/31/20 9:45,SS,NA,65.56,NA,0.189,366,NA,NA,2.12,10.1,0.0571,8/31/20,8/30/20,9:45,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
113,8/31/20 9:45,SS,NA,NA,NA,NA,NA,66.27,NA,NA,NA,NA,8/31/20,8/30/20,9:45,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
114,8/31/20 12:00,RV,NA,145,NA,0.276,91,NA,NA,12.33,8.16,0.00279,8/31/20,8/30/20,12:00,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Round Valley,33.796406,-111.494732,"33.796406, -111.494732",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
115,8/31/20 12:00,RV,NA,113.1,NA,0.262,98.3,NA,NA,11.47,10.2,0.001,8/31/20,8/30/20,12:00,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Round Valley,33.796406,-111.494732,"33.796406, -111.494732",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
116,8/31/20 12:00,RV,NA,70.03,NA,0.272,99.6,NA,NA,6.956,8.45,0.00331,8/31/20,8/30/20,12:00,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Round Valley,33.796406,-111.494732,"33.796406, -111.494732",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
117,8/31/20 12:00,RV,NA,NA,NA,NA,NA,115.4,NA,NA,NA,NA,8/31/20,8/30/20,12:00,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Round Valley,33.796406,-111.494732,"33.796406, -111.494732",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
118,7/28/20 12:00,SS,NA,20.55,NA,NA,NA,NA,NA,NA,NA,NA,7/28/20,7/24/20,,flood,no,NA,yes,post,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,1,10:45,0.74,44.6,Gage height and peak are crude measurments taken from usgs graph,7/28/20 10:45,7/24/20 10:45
118,8/17/21 0:13,CC,ISCO,NA,NA,0.03145,286.5,NA,NA,NA,NA,NA,8/17/21,8/16/21,8:05,flood,no,18,no,post,25.1,700.7,98.4,7.48,279.1,Camp,33.760368,-111.502611,"33.760368, -111.502611",burned tributary,burned,tributary,18,23:30,3.12,750,Gage height and peak are crude measurments taken from usgs graph,8/17/21 23:30,8/16/21 23:30
119,7/28/20 12:00,SS,NA,31.95,NA,NA,NA,NA,NA,NA,NA,NA,7/28/20,7/24/20,,flood,no,NA,yes,post,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,1,10:45,0.74,44.6,Gage height and peak are crude measurments taken from usgs graph,7/28/20 10:45,7/24/20 10:45
120,7/24/20 12:00,SS,NA,4.082,NA,NA,NA,NA,NA,NA,NA,NA,7/24/20,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
121,7/24/20 12:00,SS,NA,3.97,NA,NA,NA,NA,NA,NA,NA,NA,7/24/20,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
122,1/17/21 12:00,BMW,NA,2.123,NA,NA,NA,NA,NA,NA,NA,NA,1/17/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
123,1/17/21 12:00,BMW,NA,2.781,NA,NA,NA,NA,NA,NA,NA,NA,1/17/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
124,1/27/21 12:00,BMW,NA,2.986,NA,NA,NA,NA,NA,NA,NA,NA,1/27/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
125,1/27/21 12:00,BMW,NA,3.059,NA,NA,NA,NA,NA,NA,NA,NA,1/27/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
126,3/3/21 12:00,BMW,NA,2.679,NA,NA,NA,NA,NA,NA,NA,NA,3/3/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
127,4/12/21 12:00,BMW,NA,2.799,NA,NA,NA,NA,NA,NA,NA,NA,4/12/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
127,8/17/21 7:13,CC,ISCO,NA,NA,0.01935,267.5,NA,NA,NA,NA,NA,8/17/21,8/16/21,8:05,flood,no,18,no,post,25.1,700.7,98.4,7.48,279.1,Camp,33.760368,-111.502611,"33.760368, -111.502611",burned tributary,burned,tributary,18,23:30,3.12,750,Gage height and peak are crude measurments taken from usgs graph,8/17/21 23:30,8/16/21 23:30
128,7/28/20 12:00,SS,NA,NA,NA,NA,NA,NA,NA,1.614,NA,NA,7/28/20,7/24/20,,flood,no,NA,yes,post,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,1,10:45,0.74,44.6,Gage height and peak are crude measurments taken from usgs graph,7/28/20 10:45,7/24/20 10:45
128,8/17/21 2:16,SS,ISCO,NA,NA,0.0649,179.5,NA,NA,NA,NA,NA,8/17/21,8/16/21,8:30,flood,no,10,no,post,24.1,701.1,95.4,7.45,263.9,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,18,23:30,3.12,750,Gage height and peak are crude measurments taken from usgs graph,8/17/21 23:30,8/16/21 23:30
129,7/28/20 12:00,SS,NA,NA,NA,NA,NA,NA,NA,2.099,NA,NA,7/28/20,7/24/20,,flood,no,NA,yes,post,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,1,10:45,0.74,44.6,Gage height and peak are crude measurments taken from usgs graph,7/28/20 10:45,7/24/20 10:45
130,7/24/20 12:00,SS,NA,NA,NA,NA,NA,NA,NA,0.4116,NA,NA,7/24/20,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
131,7/24/20 12:00,SS,NA,NA,NA,NA,NA,NA,NA,0.4131,NA,NA,7/24/20,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
132,1/17/21 12:00,BMW,NA,NA,NA,NA,NA,NA,NA,0.2911,NA,NA,1/17/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
132,8/17/21 3:15,SS,ISCO,NA,NA,0.144,43.05,NA,NA,NA,NA,NA,8/17/21,8/16/21,8:30,flood,no,10,no,post,24.1,701.1,95.4,7.45,263.9,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,18,23:30,3.12,750,Gage height and peak are crude measurments taken from usgs graph,8/17/21 23:30,8/16/21 23:30
133,1/17/21 12:00,BMW,NA,NA,NA,NA,NA,NA,NA,0.3466,NA,NA,1/17/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
134,1/27/21 12:00,BMW,NA,NA,NA,NA,NA,NA,NA,0.5117,NA,NA,1/27/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
135,1/27/21 12:00,BMW,NA,NA,NA,NA,NA,NA,NA,0.7718,NA,NA,1/27/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
136,3/3/21 12:00,BMW,NA,NA,NA,NA,NA,NA,NA,0.2845,NA,NA,3/3/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
137,4/12/21 12:00,BMW,NA,NA,NA,NA,NA,NA,NA,0.1773,NA,NA,4/12/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
137,8/17/21 4:30,SS,ISCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/17/21,8/16/21,8:30,flood,no,10,no,post,24.1,701.1,95.4,7.45,263.9,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,18,23:30,3.12,750,Gage height and peak are crude measurments taken from usgs graph,8/17/21 23:30,8/16/21 23:30
138,7/24/20 12:00,SS,NA,NA,NA,0.0478,NA,NA,NA,NA,NA,0.00433,7/24/20,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
139,7/24/20 12:00,SS,NA,NA,NA,0.0358,NA,NA,NA,NA,NA,0.001,7/24/20,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
140,7/28/20 12:00,SS,NA,NA,NA,0.16,NA,NA,NA,NA,NA,0.21,7/28/20,7/24/20,,flood,no,NA,yes,post,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,1,10:45,0.74,44.6,Gage height and peak are crude measurments taken from usgs graph,7/28/20 10:45,7/24/20 10:45
141,7/28/20 12:00,SS,NA,NA,NA,0.221,NA,NA,NA,NA,NA,0.297,7/28/20,7/24/20,,flood,no,NA,yes,post,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,1,10:45,0.74,44.6,Gage height and peak are crude measurments taken from usgs graph,7/28/20 10:45,7/24/20 10:45
141,8/17/21 12:00,MW,GRAB,NA,NA,0.08635,233.5,NA,NA,NA,NA,NA,8/17/21,8/16/21,,flood,no,3,yes,post,28.5,703,87.7,5.25,517,Mesquite Wash,33.728768,-111.511035,"33.728768, -111.511035",below burn main stem,burned,mainstem,18,23:30,3.12,750,Gage height and peak are crude measurments taken from usgs graph,8/17/21 23:30,8/16/21 23:30
142,1/17/21 12:00,BMW,NA,NA,NA,0.001,NA,NA,NA,NA,NA,0.001,1/17/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
142,8/13/21 21:20,CC,ISCO,NA,NA,0.0341,225,NA,NA,NA,NA,NA,8/13/21,8/12/21,8:12,flood,no,24,yes,post,NA,NA,NA,NA,NA,Camp,33.760368,-111.502611,"33.760368, -111.502611",burned tributary,burned,tributary,15,6:15,11.15,6440,Gage height and peak are crude measurments taken from usgs graph,8/13/21 6:15,8/12/21 6:15
143,1/17/21 12:00,BMW,NA,NA,NA,0.001,NA,NA,NA,NA,NA,0.0011,1/17/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
144,1/27/21 12:00,BMW,NA,NA,NA,0.0148,NA,NA,NA,NA,NA,0.0482,1/27/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
145,1/27/21 12:00,BMW,NA,NA,NA,0.0218,NA,NA,NA,NA,NA,0.0593,1/27/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
146,3/3/21 12:00,BMW,NA,NA,NA,0.0125,NA,NA,NA,NA,NA,0.017,3/3/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
147,4/12/21 12:00,BMW,NA,NA,NA,0.00328,NA,NA,NA,NA,NA,0.001,4/12/21,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
148,12/28/20 12:00,BMW,NA,2.274,NA,0.0122,51.3,NA,NA,0.1739,18.3,0.001,12/28/20,NA,,baseflow,no,NA,yes,pre,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
152,8/14/21 0:20,CC,ISCO,NA,NA,0.0453,44.1,NA,NA,NA,NA,NA,8/14/21,8/14/21,,flood,no,22,yes,post,27.5,704.8,98.4,7.2,242,Camp,33.760368,-111.502611,"33.760368, -111.502611",burned tributary,burned,tributary,16,1:25,2.19,328,Gage height and peak are crude measurments taken from usgs graph,8/14/21 1:25,8/14/21 1:25
163,8/14/21 9:50,CC,ISCO,NA,NA,0.0427,196,NA,NA,NA,NA,NA,8/14/21,8/14/21,,flood,no,22,yes,post,27.5,704.8,98.4,7.2,242,Camp,33.760368,-111.502611,"33.760368, -111.502611",burned tributary,burned,tributary,16,1:25,2.19,328,Gage height and peak are crude measurments taken from usgs graph,8/14/21 1:25,8/14/21 1:25
